time_s,no_unit_none,temperature_degC,temperature_degC_1,temperature_degC_2,temperature_degC_3,temperature_degC_4,temperature_degC_5,amperage_A,power_W,velocity_km_h,no_unit_none_1,temperature_degC_6,volflow_l_min
0.0,3000,-10,-10,-10,-10.0,-10.0,-10.0,0.0,0.0,0.0,0,0.0,0.0
0.5,3000,-10,-10,-10,-9.9999998157899,-9.9999997835165,-9.9999998480633,0.0,0.0,0.0,2,15.000000184618,10.846219651293
1.0,3000,-10,-10,-10,-9.9999998197334,-9.9999997878504,-9.9999998516165,0.0,0.0,0.0,2,15.000000180651,10.846219651294
1.5,3000,-10,-10,-10,-9.9999998234706,-9.9999997919836,-9.9999998549577,0.0,0.0,0.0,2,15.000000176895,10.846219651295
2.0,3000,-10,-10,-10,-9.9999998270411,-9.9999997959522,-9.99999985813,0.0,0.0,0.0,2,15.000000173309,10.846219651296
2.5,3000,-10,-10,-10,-9.9999998304731,-9.9999997997808,-9.999999861164,0.0,0.0,0.0,2,15.000000169865,10.846219651297
3.0,3000,-10,-10,-10,-9.9999998337865,-9.9999998034833,-9.9999998640823,0.0,0.0,0.0,2,15.000000166543,10.846219651298
3.5,3000,-10,-10,-10,-9.9999998369938,-9.9999998070552,-9.9999998669009,0.0,0.0,0.0,2,15.000000163336,10.846219651299
4.0,3000,-10,-10,-10,-9.9999998400987,-9.9999998104616,-9.9999998696316,0.0,0.0,0.0,2,15.000000160254,10.846219651299
4.5,3000,-10,-10,-10,-9.9999998430944,-9.9999998136171,-9.9999998722838,0.0,0.0,0.0,2,15.000000157331,10.8462196513
5.0,3000,-10,-10,-10,-9.9999998459589,-9.9999998163573,-9.9999998748638,0.0,0.0,0.0,2,15.000000154641,10.846219651301
5.5,3000,-10,-10,-10,-9.9999992609477,-9.9999991283341,-9.9999993920443,-0.72475469985355,-333.33313525026,0.0,2,15.00000064261,10.846219651171
6.0,3000,-10,-10,-10,-9.9999983010125,-9.9999979978649,-9.9999986011236,-0.72475894447094,-333.333141573,0.0,2,15.000001605338,10.846219650914
6.5,3000,-10,-10,-10,-9.9999973611011,-9.9999968880749,-9.9999978284559,-0.72476305370291,-333.33314768604,0.0,2,15.000002548445,10.846219650662
7.0,3000,-10,-10,-10,-9.9999964400176,-9.9999957970641,-9.9999970729726,-0.72476703203816,-333.33315359635,0.0,2,15.000003473425,10.846219650415
7.5,3000,-10,-10,-10,-9.9999955367073,-9.9999947228111,-9.9999963338172,-0.724770883816,-333.33315931068,0.0,2,15.000004381718,10.846219650173
8.0,3000,-10,-10,-10,-9.9999946501929,-9.9999936630712,-9.9999956102869,-0.72477461323133,-333.33316483556,0.0,2,15.000005274792,10.846219649935
8.5,3000,-10,-10,-10,-9.999993779525,-9.9999926152874,-9.9999949017891,-0.72477822433942,-333.3331701773,0.0,2,15.000006154207,10.8462196497
9.0,3000,-10,-10,-10,-9.9999929237426,-9.999991576511,-9.9999942078127,-0.72478172106057,-333.333175342,0.0,2,15.000007021677,10.846219649469
9.5,3000,-10,-10,-10,-9.9999920818419,-9.9999905433305,-9.9999935279062,-0.72478510718461,-333.33318033556,0.0,2,15.00000787911,10.84621964924
10.0,3000,-10,-10,-10,-9.99999125275,-9.9999895118068,-9.9999928616621,-0.72478838637522,-333.33318516366,0.0,2,15.000008728654,10.846219649013
10.5,3000,-10,-10,-10,-9.9999904353027,-9.999988477414,-9.9999922087065,-0.72479156217418,-333.33318983183,0.0,2,15.000009572731,10.846219648788
11.0,3000,-10,-10,-10,-9.9999896282255,-9.9999874349855,-9.9999915686912,-0.72479463800534,-333.33319434538,0.0,2,15.000010414064,10.846219648563
